Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,2025,1,1,South,Auburn,Alabama St,16
8,2025,1,1,South,Louisville,Creighton,9
5,2025,1,1,South,Michigan,UC San Diego,12
4,2025,1,1,South,Texas A&M,Yale,13
6,2025,1,1,South,Ole Miss,North Carolina,11
3,2025,1,1,South,Iowa St,Lipscomb,14
7,2025,1,1,South,Marquette,New Mexico,10
2,2025,1,1,South,Michigan St,Bryant,15
1,2025,1,2,West,Florida,Norfolk St,16
8,2025,1,2,West,Connecticut,Oklahoma,9
5,2025,1,2,West,Memphis,Colorado St,12
4,2025,1,2,West,Maryland,Grand Canyon,13
6,2025,1,2,West,Missouri,Drake,11
3,2025,1,2,West,Texas Tech,UNC Wilmington,14
7,2025,1,2,West,Kansas,Arkansas,10
2,2025,1,2,West,St Johns,Omaha,15
1,2025,1,3,East,Duke,American,16
8,2025,1,3,East,Mississippi St,Baylor,9
5,2025,1,3,East,Oregon,Liberty,12
4,2025,1,3,East,Arizona,Akron,13
6,2025,1,3,East,BYU,VCU,11
3,2025,1,3,East,Wisconsin,Montana,14
7,2025,1,3,East,St Marys,Vanderbilt,10
2,2025,1,3,East,Alabama,Robert Morris,15
1,2025,1,4,Midwest,Houston,SIU Edwardsville,16
8,2025,1,4,Midwest,Gonzaga,Georgia,9
5,2025,1,4,Midwest,Clemson,McNeese St,12
4,2025,1,4,Midwest,Purdue,High Point,13
6,2025,1,4,Midwest,Illinois,Xavier,11
3,2025,1,4,Midwest,Kentucky,Troy,14
7,2025,1,4,Midwest,UCLA,Utah St,10
2,2025,1,4,Midwest,Tennessee,Wofford,15
