Year,Round,Region Number,Region Name,Seed 1,Score 1,Team 1,Team 2,Score 2,Seed 2
1985,1,1,East,1,68,Georgetown,Lehigh,43,16
1985,1,1,East,8,60,Temple,Virginia Tech,57,9
1985,1,1,East,5,85,SMU,Old Dominion,68,12
1985,1,1,East,4,59,Loyola Illinois,Iona,58,13
1985,1,1,East,6,67,Georgia,Wichita St,59,11
1985,1,1,East,3,76,Illinois,Northeastern,57,14
1985,1,1,East,7,70,Syracuse,DePaul,65,10
1985,1,1,East,2,65,Georgia Tech,Mercer,58,15
1985,2,1,East,1,63,Georgetown,Temple,46,8
1985,2,1,East,5,57,SMU,Loyola Illinois,70,4
1985,2,1,East,6,58,Georgia,Illinois,74,3
1985,2,1,East,7,53,Syracuse,Georgia Tech,70,2
1985,3,1,East,1,65,Georgetown,Loyola Illinois,53,4
1985,3,1,East,3,53,Illinois,Georgia Tech,61,2
1985,4,1,East,1,60,Georgetown,Georgia Tech,54,2
1985,1,2,Midwest,1,96,Oklahoma,North Carolina A&T,83,16
1985,1,2,Midwest,8,55,USC,Illinois St,58,9
1985,1,2,Midwest,5,78,Louisiana Tech,Pittsburgh,54,12
1985,1,2,Midwest,4,75,Ohio St,Iowa St,64,13
1985,1,2,Midwest,6,53,Texas Tech,Boston College,55,11
1985,1,2,Midwest,3,75,Duke,Pepperdine,62,14
1985,1,2,Midwest,7,70,UAB,Michigan St,68,10
1985,1,2,Midwest,2,67,Memphis,Pennsylvania,55,15
1985,2,2,Midwest,1,75,Oklahoma,Illinois St,69,9
1985,2,2,Midwest,5,79,Louisiana Tech,Ohio St,67,4
1985,2,2,Midwest,11,74,Boston College,Duke,73,3
1985,2,2,Midwest,7,66,UAB,Memphis,67,2
1985,3,2,Midwest,1,86,Oklahoma,Louisiana Tech,84,5
1985,3,2,Midwest,11,57,Boston College,Memphis,59,2
1985,4,2,Midwest,1,61,Oklahoma,Memphis,63,2
1985,1,3,Southeast,1,59,Michigan,Fairleigh Dickinson,55,16
1985,1,3,Southeast,8,51,Villanova,Dayton,49,9
1985,1,3,Southeast,5,69,Maryland,Miami Ohio,68,12
1985,1,3,Southeast,4,55,LSU,Navy,78,13
1985,1,3,Southeast,6,58,Purdue,Auburn,59,11
1985,1,3,Southeast,3,49,Kansas,Ohio,38,14
1985,1,3,Southeast,7,79,Notre Dame,Oregon St,70,10
1985,1,3,Southeast,2,76,North Carolina,Middle Tennessee St,57,15
1985,2,3,Southeast,1,55,Michigan,Villanova,59,8
1985,2,3,Southeast,5,64,Maryland,Navy,59,13
1985,2,3,Southeast,11,66,Auburn,Kansas,64,3
1985,2,3,Southeast,7,58,Notre Dame,North Carolina,60,2
1985,3,3,Southeast,8,46,Villanova,Maryland,43,5
1985,3,3,Southeast,11,56,Auburn,North Carolina,62,2
1985,4,3,Southeast,8,56,Villanova,North Carolina,44,2
1985,1,4,West,1,83,St Johns,Southern,59,16
1985,1,4,West,8,54,Iowa,Arkansas,63,9
1985,1,4,West,5,58,Washington,Kentucky,66,12
1985,1,4,West,4,85,UNLV,San Diego St,80,13
1985,1,4,West,6,75,Tulsa,UTEP,79,11
1985,1,4,West,3,65,NC State,Nevada,56,14
1985,1,4,West,7,50,Alabama,Arizona,41,10
1985,1,4,West,2,81,VCU,Marshall,65,15
1985,2,4,West,1,68,St Johns,Arkansas,65,9
1985,2,4,West,12,64,Kentucky,UNLV,61,4
1985,2,4,West,11,73,UTEP,NC State,86,3
1985,2,4,West,7,63,Alabama,VCU,59,2
1985,3,4,West,1,86,St Johns,Kentucky,70,12
1985,3,4,West,3,61,NC State,Alabama,55,7
1985,4,4,West,1,69,St Johns,NC State,60,3
1985,5,0,National,1,77,Georgetown,St Johns,59,1
1985,5,0,National,2,45,Memphis,Villanova,52,8
1985,6,0,National,1,64,Georgetown,Villanova,66,8
1986,1,1,East,1,85,Duke,Mississippi Valley St,78,16
1986,1,1,East,8,72,Old Dominion,West Virginia,64,9
1986,1,1,East,5,68,Virginia,DePaul,72,12
1986,1,1,East,4,80,Oklahoma,Northeastern,74,13
1986,1,1,East,6,60,St Josephs,Richmond,59,11
1986,1,1,East,3,79,Indiana,Cleveland St,83,14
1986,1,1,East,7,87,Navy,Tulsa,68,10
1986,1,1,East,2,101,Syracuse,Brown,52,15
1986,2,1,East,1,89,Duke,Old Dominion,61,8
1986,2,1,East,12,74,DePaul,Oklahoma,69,4
1986,2,1,East,6,69,St Josephs,Cleveland St,75,14
1986,2,1,East,7,97,Navy,Syracuse,85,2
1986,3,1,East,1,74,Duke,DePaul,67,12
1986,3,1,East,14,70,Cleveland St,Navy,71,7
1986,4,1,East,1,71,Duke,Navy,50,7
1986,1,2,Midwest,1,71,Kansas,North Carolina A&T,46,16
1986,1,2,Midwest,8,50,Jacksonville,Temple,61,9
1986,1,2,Midwest,5,72,Michigan St,Washington,70,12
1986,1,2,Midwest,4,70,Georgetown,Texas Tech,64,13
1986,1,2,Midwest,6,66,NC State,Iowa,64,11
1986,1,2,Midwest,3,83,Notre Dame,Arkansas Little Rock,90,14
1986,1,2,Midwest,7,81,Iowa St,Miami Ohio,79,10
1986,1,2,Midwest,2,70,Michigan,Akron,64,15
1986,2,2,Midwest,1,65,Kansas,Temple,43,9
1986,2,2,Midwest,5,80,Michigan St,Georgetown,68,4
1986,2,2,Midwest,6,80,NC State,Arkansas Little Rock,66,14
1986,2,2,Midwest,7,72,Iowa St,Michigan,69,2
1986,3,2,Midwest,1,96,Kansas,Michigan St,86,5
1986,3,2,Midwest,6,70,NC State,Iowa St,66,7
1986,4,2,Midwest,1,75,Kansas,NC State,67,6
1986,1,3,Southeast,1,75,Kentucky,Davidson,55,16
1986,1,3,Southeast,8,67,Western Kentucky,Nebraska,59,9
1986,1,3,Southeast,5,97,Alabama,Xavier,80,12
1986,1,3,Southeast,4,75,Illinois,Fairfield,51,13
1986,1,3,Southeast,6,87,Purdue,LSU,94,11
1986,1,3,Southeast,3,95,Memphis,Ball St,63,14
1986,1,3,Southeast,7,62,Virginia Tech,Villanova,71,10
1986,1,3,Southeast,2,68,Georgia Tech,Marist,53,15
