Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian,Abilene Texas,1971,2024,14,423,226,197,.534,-7.74,-5.57,0,0,2,2,0,0
2,Air Force,USAF Academy Colorado,1958,2024,67,1843,794,1049,.431,-2.80,1.33,0,1,0,4,0,0
3,Akron,Akron Ohio,1902,2024,73,1718,1027,691,.598,0.00,-1.55,0,9,6,6,0,0
4,Alabama,Tuscaloosa Alabama,1913,2024,111,2896,1794,1101,.620,7.94,4.92,18,12,9,25,1,0
5,Alabama A&M,Normal Alabama,2000,2024,25,723,277,446,.383,-16.61,-11.07,0,1,1,1,0,0
6,Alabama State,Montgomery Alabama,1983,2024,42,1240,574,666,.463,-13.25,-9.91,0,4,4,4,0,0
7,Albany (NY),Albany New York,2000,2024,25,768,367,401,.478,-7.08,-5.93,0,2,5,5,0,0
8,Alcorn State,Alcorn State Mississippi,1978,2024,47,1392,607,785,.436,-13.44,-8.67,0,12,6,6,0,0
9,Allegheny Gators,Meadville Pennsylvania,1896,1916,21,234,191,41,.823,,,0,0,0,0,0,0
10,American,Washington D.C.,1967,2024,58,1639,802,837,.489,-5.83,-3.98,0,7,3,3,0,0
11,Amherst Lord Jeffs,Amherst Massachusetts,1901,1902,2,12,12,0,1.000,,,0,0,0,0,0,0
12,Appalachian State,Boone North Carolina,1974,2024,51,1514,754,760,.498,-5.49,-3.25,0,11,3,3,0,0
13,Arizona,Tucson Arizona,1905,2024,117,2888,1913,974,.663,9.53,5.21,30,26,9,38,4,1
14,Arizona State,Tempe Arizona,1912,2024,109,2700,1431,1269,.530,5.10,4.21,7,8,0,17,0,0
15,Arkansas,Fayetteville Arkansas,1924,2024,101,2813,1799,1014,.640,7.90,3.40,18,26,7,35,6,1
16,Arkansas State,State University Arkansas,1971,2024,54,1575,805,770,.511,-3.67,-2.99,0,7,1,1,0,0
17,Arkansas-Pine Bluff,Pine Bluff Arkansas,1999,2024,26,785,233,552,.297,-19.25,-8.20,0,0,1,1,0,0
18,Armstrong Pirates,Savannah Georgia,1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0
19,Army,West Point New York,1903,2024,122,2634,1304,1330,.495,-9.16,-4.74,0,0,0,0,0,0
20,Auburn,Auburn Alabama,1906,2024,118,2729,1478,1250,.542,6.14,4.42,10,5,3,13,1,0
21,Augusta Jaguars,Augusta Georgia,1985,1991,7,197,64,133,.325,-17.30,-7.99,0,0,0,0,0,0
22,Augustana (IL) Vikings,Rock Island Illinois,1902,1917,12,116,81,35,.698,,,0,0,0,0,0,0
23,Austin Peay,Clarksville Tennessee,1964,2024,61,1762,878,884,.498,-5.67,-3.47,1,8,5,7,0,0
24,Baker University Wildcats,Baldwin City Kansas,1903,1908,6,90,62,28,.689,,,0,0,0,0,0,0
25,Baldwin-Wallace Yellow Jackets,Berea Ohio,1948,1953,6,139,82,57,.590,-4.46,1.83,0,0,0,0,0,0
26,Ball State,Muncie Indiana,1972,2024,53,1560,827,733,.530,-1.11,-0.92,1,12,7,7,0,0
27,Baltimore Super Bees,Baltimore Maryland,1979,1983,5,133,46,87,.346,-13.75,-6.44,0,0,0,0,0,0
28,Baylor,Waco Texas,1907,2024,118,2887,1479,1408,.512,2.66,2.95,11,7,0,16,3,1
29,Bellarmine,Louisville Kentucky,2021,2024,4,119,57,62,.479,-6.18,-2.66,0,0,1,0,0,0
30,Belmont,Nashville Tennessee,2000,2024,25,796,533,263,.670,1.61,-3.37,0,14,8,8,0,0
31,Beloit Buccaneers,Beloit Wisconsin,1911,1924,8,95,66,28,.702,,,0,0,0,0,0,0
32,Bethune-Cookman,Daytona Beach Florida,1981,2024,43,1281,471,810,.368,-16.50,-9.81,0,2,0,0,0,0
