Seed 1,Year,Round,Region Number,Region Name,Team 1,Team 2,Seed 2
1,1994,1,1,East,Connecticut,Brown,16
8,1994,1,1,East,Virginia Tech,Auburn,9
5,1994,1,1,East,Rutgers,Western Kentucky,12
4,1994,1,1,East,Southern Mississippi,Tennessee St,13
6,1994,1,1,East,Old Dominion,St Josephs,11
3,1994,1,1,East,North Carolina,Georgia Southern,14
7,1994,1,1,East,Notre Dame,Minnesota,10
2,1994,1,1,East,Vanderbilt,Grambling,15
1,1994,1,2,Mideast,Tennessee,North Carolina A&T,16
8,1994,1,2,Mideast,Florida International,Clemson,9
5,1994,1,2,Mideast,Ole Miss,Indiana,12
4,1994,1,2,Mideast,Louisiana Tech,SMU,13
6,1994,1,2,Mideast,Southwest Missouri St,Northern Illinois,11
3,1994,1,2,Mideast,Virginia,Loyola Maryland,14
7,1994,1,2,Mideast,George Washington,UAB,10
2,1994,1,2,Mideast,USC,Portland,15
1,1994,1,3,Midwest,Penn St,Fordham,16
8,1994,1,3,Midwest,Stephen F Austin,Kansas,9
5,1994,1,3,Midwest,Texas,Oklahoma St,12
4,1994,1,3,Midwest,Seton Hall,Vermont,13
6,1994,1,3,Midwest,Alabama,Oregon St,11
3,1994,1,3,Midwest,Iowa,Mount St Marys,14
7,1994,1,3,Midwest,Bowling Green,Creighton,10
2,1994,1,3,Midwest,Texas Tech,Missouri,15
1,1994,1,4,West,Purdue,Radford,16
8,1994,1,4,West,Washington,Boise St,9
5,1994,1,4,West,San Diego St,Hawaii,12
4,1994,1,4,West,Florida,Texas A&M,13
6,1994,1,4,West,Oregon,Santa Clara,11
3,1994,1,4,West,Colorado,Marquette,14
7,1994,1,4,West,Montana,UNLV,10
2,1994,1,4,West,Stanford,Wisconsin Green Bay,15
