Year,Round,Region Number,Region Name,Seed 1,Score 1,Team 1,Team 2,Score 2,Seed 2
1994,1,1,East,1,79,Connecticut,Brown,60,16
1994,1,1,East,8,51,Virginia Tech,Auburn,60,9
1994,1,1,East,5,73,Rutgers,Western Kentucky,84,12
1994,1,1,East,4,86,Southern Mississippi,Tennessee St,72,13
1994,1,1,East,6,56,Old Dominion,St Josephs,55,11
1994,1,1,East,3,101,North Carolina,Georgia Southern,53,14
1994,1,1,East,7,76,Notre Dame,Minnesota,81,10
1994,1,1,East,2,95,Vanderbilt,Grambling,85,15
1994,2,1,East,1,81,Connecticut,Auburn,59,9
1994,2,1,East,12,69,Western Kentucky,Southern Mississippi,72,4
1994,2,1,East,6,52,Old Dominion,North Carolina,63,3
1994,2,1,East,10,72,Minnesota,Vanderbilt,98,2
1994,3,1,East,1,78,Connecticut,Southern Mississippi,64,4
1994,3,1,East,3,73,North Carolina,Vanderbilt,69,2
1994,4,1,East,1,69,Connecticut,North Carolina,81,3
1994,1,2,Mideast,1,111,Tennessee,North Carolina A&T,37,16
1994,1,2,Mideast,8,64,Florida International,Clemson,65,9
1994,1,2,Mideast,5,83,Ole Miss,Indiana,61,12
1994,1,2,Mideast,4,96,Louisiana Tech,SMU,62,13
1994,1,2,Mideast,6,75,Southwest Missouri St,Northern Illinois,56,11
1994,1,2,Mideast,3,72,Virginia,Loyola Maryland,47,14
1994,1,2,Mideast,7,74,George Washington,UAB,66,10
1994,1,2,Mideast,2,77,USC,Portland,62,15
1994,2,2,Mideast,1,78,Tennessee,Clemson,66,9
1994,2,2,Mideast,5,67,Ole Miss,Louisiana Tech,82,4
1994,2,2,Mideast,6,63,Southwest Missouri St,Virginia,67,3
1994,2,2,Mideast,7,72,George Washington,USC,76,2
1994,3,2,Mideast,1,68,Tennessee,Louisiana Tech,71,4
1994,3,2,Mideast,3,66,Virginia,USC,85,2
1994,4,2,Mideast,4,75,Louisiana Tech,USC,66,2
1994,1,3,Midwest,1,94,Penn St,Fordham,41,16
1994,1,3,Midwest,8,62,Stephen F Austin,Kansas,72,9
1994,1,3,Midwest,5,75,Texas,Oklahoma St,67,12
1994,1,3,Midwest,4,70,Seton Hall,Vermont,60,13
1994,1,3,Midwest,6,96,Alabama,Oregon St,86,11
1994,1,3,Midwest,3,70,Iowa,Mount St Marys,47,14
1994,1,3,Midwest,7,73,Bowling Green,Creighton,84,10
1994,1,3,Midwest,2,75,Texas Tech,Missouri,61,15
1994,2,3,Midwest,1,85,Penn St,Kansas,68,9
1994,2,3,Midwest,5,66,Texas,Seton Hall,71,4
1994,2,3,Midwest,6,84,Alabama,Iowa,78,3
1994,2,3,Midwest,10,65,Creighton,Texas Tech,75,2
1994,3,3,Midwest,1,64,Penn St,Seton Hall,60,4
1994,3,3,Midwest,6,73,Alabama,Texas Tech,68,2
1994,4,3,Midwest,1,82,Penn St,Alabama,96,6
1994,1,4,West,1,103,Purdue,Radford,56,16
1994,1,4,West,8,89,Washington,Boise St,61,9
1994,1,4,West,5,81,San Diego St,Hawaii,75,12
1994,1,4,West,4,76,Florida,Texas A&M,78,13
1994,1,4,West,6,74,Oregon,Santa Clara,59,11
1994,1,4,West,3,77,Colorado,Marquette,74,14
1994,1,4,West,7,77,Montana,UNLV,67,10
1994,1,4,West,2,81,Stanford,Wisconsin Green Bay,56,15
1994,2,4,West,1,86,Purdue,Washington,59,8
1994,2,4,West,5,72,San Diego St,Texas A&M,75,13
1994,2,4,West,6,71,Oregon,Colorado,92,3
1994,2,4,West,7,62,Montana,Stanford,66,2
1994,3,4,West,1,82,Purdue,Texas A&M,56,13
1994,3,4,West,3,62,Colorado,Stanford,78,2
1994,4,4,West,1,82,Purdue,Stanford,65,2
1994,5,0,National,3,89,North Carolina,Purdue,74,1
1994,5,0,National,4,69,Louisiana Tech,Alabama,66,6
1994,6,0,National,3,60,North Carolina,Louisiana Tech,59,4
1995,1,1,East,1,105,Connecticut,Maine,75,16
1995,1,1,East,8,62,Virginia Tech,St Josephs,52,9
1995,1,1,East,5,76,Duke,Oklahoma St,64,12
1995,1,1,East,4,82,Alabama,Mount St Marys,55,13
1995,1,1,East,6,89,Florida,Radford,49,11
1995,1,1,East,3,71,Virginia,Dartmouth,68,14
1995,1,1,East,7,90,Oklahoma,Loyola Maryland,55,10
1995,1,1,East,2,90,Louisiana Tech,Furman,52,15
1995,2,1,East,1,91,Connecticut,Virginia Tech,45,8
1995,2,1,East,5,120,Duke,Alabama,121,4
1995,2,1,East,6,67,Florida,Virginia,72,3
1995,2,1,East,7,36,Oklahoma,Louisiana Tech,48,2
1995,3,1,East,1,87,Connecticut,Alabama,56,4
1995,3,1,East,3,63,Virginia,Louisiana Tech,62,2
1995,4,1,East,1,67,Connecticut,Virginia,63,3
1995,1,2,Mideast,1,96,Tennessee,Florida A&M,59,16
1995,1,2,Mideast,8,76,Old Dominion,Florida International,81,9
1995,1,2,Mideast,5,88,Oregon St,Tennessee St,75,12
1995,1,2,Mideast,4,77,Western Kentucky,Toledo,63,13
1995,1,2,Mideast,6,67,Arkansas,San Francisco,58,11
1995,1,2,Mideast,3,73,Washington,Ohio,56,14
1995,1,2,Mideast,7,72,Kansas,Wisconsin,73,10
1995,1,2,Mideast,2,87,Texas Tech,Tulane,72,15
1995,2,2,Mideast,1,70,Tennessee,Florida International,44,9
1995,2,2,Mideast,5,78,Oregon St,Western Kentucky,85,4
1995,2,2,Mideast,6,50,Arkansas,Washington,54,3
1995,2,2,Mideast,10,65,Wisconsin,Texas Tech,88,2
1995,3,2,Mideast,1,87,Tennessee,Western Kentucky,65,4
1995,3,2,Mideast,3,52,Washington,Texas Tech,67,2
1995,4,2,Mideast,1,80,Tennessee,Texas Tech,59,2
1995,1,3,Midwest,1,83,Colorado,Holy Cross,49,16
1995,1,3,Midwest,8,47,Utah,Southwest Missouri St,49,9
1995,1,3,Midwest,5,87,Drake,Ole Miss,81,12
1995,1,3,Midwest,4,87,George Washington,DePaul,79,13
1995,1,3,Midwest,6,65,Oregon,Louisville,67,11
1995,1,3,Midwest,3,81,Georgia,Indiana,64,14
1995,1,3,Midwest,7,77,NC State,Marquette,62,10
1995,1,3,Midwest,2,75,Penn St,Jackson St,62,15
1995,2,3,Midwest,1,78,Colorado,Southwest Missouri St,34,9
1995,2,3,Midwest,5,93,Drake,George Washington,96,4
1995,2,3,Midwest,11,68,Louisville,Georgia,81,3
1995,2,3,Midwest,7,76,NC State,Penn St,74,2
1995,3,3,Midwest,1,77,Colorado,George Washington,61,4
1995,3,3,Midwest,3,98,Georgia,NC State,79,7
1995,4,3,Midwest,1,79,Colorado,Georgia,82,3
1995,1,4,West,1,90,Vanderbilt,Northern Illinois,44,16
1995,1,4,West,8,74,Memphis,USC,72,9
1995,1,4,West,5,46,San Diego St,Montana,57,12
1995,1,4,West,4,74,Purdue,Portland,59,13
1995,1,4,West,6,73,Seton Hall,Stephen F Austin,63,11
1995,1,4,West,3,89,North Carolina,Western Illinois,48,14
