,TeamID,Name
0,296,Abilene Christian Wildcats
1,221,Air Force Falcons
2,177,Akron Zips
3,275,Alabama Crimson Tide
4,309,Alabama A&M Bulldogs
5,311,Alabama State Hornets
6,413,Albion Britons
7,13,Albany Great Danes
8,307,Alcorn State Braves
9,361,Allen Allen
10,265,American University Eagles
11,625,Angelo State Rams
12,655,Antelope Valley Pioneers
13,331,Appalachian State Mountaineers
14,715,Aquinas College Saints
15,772,Arlington Baptist Patriots
16,276,Arkansas Razorbacks
17,327,Arkansas State Red Wolves
18,323,Little Rock Trojans
19,751,Arkansas-Monticello Boll Weevils
20,263,Army West Point Black Knights
21,310,UAPB Golden Lions
22,247,Arizona Wildcats
23,255,Arizona State Sun Devils
24,279,Auburn Tigers
25,242,Austin Peay Governors
26,462,Averett Cougars
27,737,Ave Maria Gyrenes
28,742,Avila Eagles
29,184,Ball State Cardinals
30,108,Baylor Bears
31,192,Bethune-Cookman Wildcats
32,514,Bellevue Bruins
33,233,Belmont Bruins
34,627,Bemidji State Beavers
35,458,Benedictine Mesa Redhawks
36,412,Bethesda Flames
37,20,Binghamton Bearcats
38,454,Bloomsburg Huskies
39,658,Blue Mountain College Toppers
40,432,Bob Jones University Bruins
41,215,Boise State Broncos
42,35,Boston College Eagles
43,259,Boston University Terriers
44,181,Bowling Green Falcons
45,709,Boyce Bulldogs
46,455,Brewton-Parker College Barons
47,210,Bradley Braves
48,482,Brevard College Tornados
49,472,Brescia Bearcats
50,677,Bridgewater (VA) Eagles
51,163,Brown Bears
52,520,Bryan College Lions
53,231,Bryant Bulldogs
54,700,Bryn Athyn Lions
55,707,Birmingham-Southern Panthers
56,508,Bethany (KS) Swedes
57,753,Bethel (TN) Wildcats
58,257,Bucknell Bison
59,179,Buffalo Bulls
60,64,Butler Bulldogs
61,651,Buena Vista Beavers
62,336,BYU Cougars
63,394,California Baptist Lancers
64,251,California Golden Bears
65,421,Cairn University Highlanders
66,122,Cal Poly Mustangs
67,402,Cal Tech Beavers
68,399,Calvary Warriors
69,90,Campbell Fighting Camels
70,172,Canisius Golden Griffins
71,298,Central Arkansas Bears
72,449,Carver College Cougars
73,674,LaGrange Panthers
74,609,City College of New York Beavers
75,400,Champion Christian College Tigers
76,503,Cedarville Yellow Jackets
77,232,Central Connecticut State Blue Devils
78,444,Central State Marauders
79,425,Centenary Gentlemen
80,129,Charleston Cougars
81,142,Charlotte 49ers
82,281,Chattanooga Mocs
83,691,Chestnut Hill Griffins
84,351,Chicago St. Cougars
85,450,Christendom College Crusaders
86,88,Charleston Southern Buccaneers
87,422,College of Idaho Coyotes
88,4,Cincinnati Bearcats
89,288,Citadel Bulldogs
90,668,Clarion Golden Eagles
91,27,Clemson Tigers
92,418,Cal Lutheran Kingsmen
93,156,Cleveland State Vikings
94,522,Carnegie Mellon Tartans
95,185,Central Michigan Chippewas
96,754,Campbellsville Tigers
97,81,Coastal Carolina Chanticleers
98,662,Colorado College Tigers
99,493,Coe Kohawks
100,749,Coker Cobras
101,250,Colorado Buffaloes
102,644,Colorado Christian Cougars
103,261,Colgate Raiders
104,769,College of Saint Elizabeth Eagles
105,159,Columbia Lions
106,217,Colorado State Rams
107,639,Washington Adventist Shock
108,448,Concordia (TX) Tornados
109,629,Concordia University (IL) Cougars
110,607,Concordia (MI) Cardinals
111,728,Concordia (NE) Bulldogs
112,200,Coppin State Eagles
113,162,Cornell Big Red
114,476,Covenant Scots
115,511,Central Pennsylvania College Knights
116,61,Creighton Bluejays
117,693,SUNY-Cortland Red Dragons
118,487,Cal State-Dominguez Hills Toros
119,429,Cal State San Marcos Cougars
120,698,Cal State-Stanislaus Warriors
121,346,Bakersfield Roadrunners
122,123,Cal State Fullerton Titans
123,121,CSUN Matadors
124,634,Cumberland University Phoenix
125,489,Central Washington Wildcats
126,752,Dallas Christian Crusaders
127,165,Dartmouth Big Green
128,613,Davis & Elkins Senators
129,49,Davidson Wildcats
130,44,Dayton Flyers
131,760,Dickinson State Blue Hawks
132,720,Defiance Yellow Jackets
133,133,Delaware Fightin' Blue Hens
134,201,Delaware State Hornets
135,319,Denver Pioneers
136,66,DePaul Blue Demons
137,656,DeSales Bulldogs
138,153,Detroit Titans
139,211,Drake Bulldogs
140,132,Drexel Dragons
141,708,Dominican (IL) Stars
142,445,Dubuque Spartans
143,26,Duke Blue Devils
144,51,Duquesne Dukes
145,750,Dixie State Trailblazers
